"The site collects your generic personal information for legal requirements. Collection happens on the website, and your data is identifiable.",Disclosure
"The site collects your unspecified information for advertising. Collection happens when you implicitly provide information by some means outside of our label scheme, and your data is identifiable.",1P Analysis
The site collects your social media data for an unspecified purpose. Collection happens when you implicitly provide information on the website. You can choose not to use the service or feature for the collection of your information.,Social Media
"The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens by some means outside of our label scheme, and your data is identifiable.",1P Analysis
The site collects your financial information for marketing purposes. Collection happens in an unspecified way. You can opt in for data collection.,Payment
"The site collects your location information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable.",Location
"The site collects your unspecified information for personalization or customization. Collection happens in an unspecified way, and your data is aggregated or anonymized.",Personalization
"The site collects your demographic information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1P Analysis
The site does not collect your contact information for legal requirements. Collection happens by some means outside of our label scheme. You can configure your privacy using a method outside our label scheme for the use of your information.,Disclosure
An unspecified third party does receive unspecified information about you for personalization or customization. You can opt in for data collection for the collection or sharing of your information.,Personalization
A named third party does receive information about you not covered by our label scheme for an additional (non-basic) service or feature. The data is personally identifiable. You can choose not to use the service or feature for the use of your information.,3P Analysis
"The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can opt in for data collection for the collection and use of your information.",1P Analysis
"The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way for a user type outside of our label scheme, and your data is identifiable.",1P Analysis
A named third party does receive unspecified information about you for legal requirements.,Disclosure
"The site collects your contact information for analytics or research. Collection happens in an unspecified way, and your data is aggregated or anonymized.",1P Analysis
"The site collects your website activities for analytics or research. Collection happens on the website, and your data is identifiable.",1P Analysis
The site collects your contact information for personalization or customization. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,Personalization
A user's cookies and tracking elements is retained for a limited (but unspecified) period of time to maintain service operations or security.,Cookies
A named third party does collect on the first party website or app unspecified information about you for targeted advertising. You can configure your privacy with third-party user settings.,Targeted Advertising
The site collects your location information for an unspecified purpose. Collection happens when you explicitly provide information on the website.,Location
The site collects your cookies or tracking elements for analytics or research. Collection happens on other websites.,Cookies
"The site collects your computer information for marketing purposes. Collection happens in an unspecified way, and your data is identifiable.",1P Analysis
"The site collects something that uniquely identifies you for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can choose not to use the service or feature.",1P Analysis
"The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized.",Cookies
An unnamed third party does receive your cookies or tracking elements for an unspecified purpose. The data is aggregated or anonymized. You can opt in for data collection for the collection or sharing of your information.,Cookies
The site collects your unspecified information for legal requirements. Collection happens by some means outside of our label scheme.,Disclosure
"You can use privacy configuration settings (in the website or app) to control the use of unspecified information by the site, which collects it for personalization or customization.",Personalization
You can use privacy configuration settings (in the website or app) to control the use of cookies and tracking elements by an unspecified party for advertising.,Cookies
"The site collects your unspecified information for service operations or security. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable.",1P Analysis
An unspecified third party does receive your unspecified personal information for legal requirements. The data is personally identifiable.,Disclosure
"The site collects your demographic information for an additional (non-basic) service or feature. Collection happens in an unspecified way, and your data is identifiable.",1P Analysis
"The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information by some means outside of our label scheme for users with accounts, and your data is identifiable.",1P Analysis
"The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable.",1P Analysis
"The site collects your contact information for personalization or customization. Collection happens when you implicitly provide information on other websites, and your data is identifiable. You can configure your privacy with third-party user settings for the collection of your information.",Personalization
A named third party does track on the first party website or app your computer information for analytics or research. The data is aggregated or anonymized.,3P Analysis
"The site collects your contact information for advertising. Collection happens in an unspecified way, and your data is identifiable.",1P Analysis
The site collects your social media data for an unspecified purpose. Collection happens by a named service or third party for users with accounts.,Social Media
"The site collects your unspecified information for analytics or research. Collection happens by some means outside of our label scheme, and your data is aggregated or anonymized.",1P Analysis
"The site collects your generic personal information for advertising. Collection happens when you implicitly provide information in an unspecified way, and your data is identifiable.",1P Analysis
"The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information in an unspecified way, and your data is identifiable.",1P Analysis
"The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information in an unspecified way, and your data's identifiability is not covered by our label scheme.",1P Analysis
The site collects your financial information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way. You can configure your privacy using a method outside our label scheme.,Payment
A named third party does receive your unspecified personal information for analytics or research. The data is aggregated or anonymized.,3P Analysis
A named third party does do something outside of our label scheme with your activities on the website or app for targeted advertising. You can make a choice about the use of your information.,Targeted Advertising
"Users with accounts can access, edit, or delete personal information in a manner not covered by our label scheme, within the scope of information explicitly provided by the user.",Deletion
An unnamed third party does receive your contact information for marketing purposes. This applies to a user type outside of our label scheme. You can opt out by contacting the company for the use of your information.,Action
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information by a named service or third party for users with accounts, and your data is identifiable. You can opt in for data collection.",3P Analysis
A named third party does receive your financial information for an additional (non-basic) service or feature. You can opt in for data collection for the use of your information.,Payment
The site does not collect your demographic information for advertising. Collection happens when you implicitly provide information by some means outside of our label scheme.,1P Analysis
The site collects your survey data for analytics or research. Collection happens when you explicitly provide information by a named service or third party.,3P Analysis
An unnamed third party does collect on the first party website or app your computer information for analytics or research.,3P Analysis
An unnamed third party does collect on the first party website or app your activities on the website or app for targeted advertising. The data is aggregated or anonymized. You can opt out using the provided link.,Targeted Advertising
A user's unspecified information is retained for an unspecified duration to perform analytics or research.,1P Analysis
"The site collects your computer information for personalization or customization. Collection happens by some means outside of our label scheme, and your data is aggregated or anonymized.",Personalization
Other users does not see your contact information for a basic service or feature. The data is personally identifiable. You can opt in for data collection.,1P Analysis
"When a change is made to the privacy policy that significantly affects data practices, users are notified in an unspecified manner. Users must agree before their data is treated according to the new privacy policy.",Policy Change
An unnamed third party does collect on the first party website or app your cookies or tracking elements for service operations or security. The data is aggregated or anonymized.,Cookies
The site collects your demographic information for advertising. Collection happens by some means outside of our label scheme.,1P Analysis
"You can opt out (via a link) from the use of contact information by a third party, which collects or receives it for an unspecified purpose.",Action
"The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way for users with accounts, and your data is identifiable.",1P Analysis
Another part of the company or institution does receive your health information for a basic service or feature. The data is personally identifiable. You can opt in for data collection.,Health
"You can opt out (by contacting the company) from the use of generic personal information by a third party, which uses it for marketing purposes.",Action
"You can choose not to use a service or feature to avoid the use of location information by the site, which collects it for an additional (non-basic) service or feature.",Location
"The site collects your user profile for a basic service or feature. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1P Analysis
"The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information by a named service or third party, and your data is aggregated or anonymized.",Cookies
The site collects your financial information for advertising. Collection happens by some means outside of our label scheme.,Payment
A named third party does receive your computer information for targeted advertising. You can choose not to use the service or feature for the collection or sharing and use of your information.,Targeted Advertising
A named third party does collect on the first party website or app your IP address or device IDs for targeted advertising.,IP Address
"The site collects your contact information for service operations or security. Collection happens on the website, and your data is identifiable.",1P Analysis
The site collects your location information for personalization or customization. Collection happens in the mobile app.,Location
"The site collects your generic personal information for an additional (non-basic) service or feature. Collection happens when you implicitly provide information by an unnamed service or third party, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",3P Analysis
A named third party does receive your activities on the website or app for targeted advertising. You can configure your privacy with third-party user settings.,Targeted Advertising
"The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information by an unnamed service or third party, and your data is identifiable.",3P Analysis
"A user type outside of our label scheme can opt out (via a link) from the use of contact information by a third party, which uses it for an unspecified purpose.",Action
A named third party does collect on the first party website or app unspecified information about you for analytics or research. The data is aggregated or anonymized. You can configure your privacy with browser settings.,3P Analysis
"The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",Cookies
"The site collects your cookies or tracking elements for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized. You can configure your privacy with browser settings.",Cookies
The site does not collect your website activities for personalization or customization. Collection happens when you implicitly provide information on the website. You can make a choice about the collection of your information.,Personalization
"A user can delete their account (although the company or organization may continue to keep some data), within the scope of transactional data (e.g., online activity, purchases).",Deletion
A named third party does receive your health information for an unspecified purpose. You can opt out by contacting the company for the collection or sharing of your information.,Action
"The site collects your unspecified information for service operations or security. Collection happens on the website, and your data is identifiable.",1P Analysis
"The site collects your computer information for analytics or research. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized. You can opt out using the provided link for the collection of your information.",Action
You can opt out (via a link) from the use of unspecified information by an unspecified party for a purpose outside of our label scheme.,Action
"The site collects your contact information for an additional (non-basic) service or feature. Collection happens on the website for users with accounts, and your data is identifiable.",1P Analysis
"The site collects an information type outside of our label scheme for analytics or research. Collection happens when you implicitly provide information in the mobile app, and your data is identifiable.",1P Analysis
"The site does not collect your unspecified information for an unspecified purpose. Collection happens when you implicitly provide information on the website, and your data is identifiable.",1P Analysis
"The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information in an unspecified way, and your data is aggregated or anonymized.",IP Address
Another part of the company or institution does receive your unspecified personal information for marketing purposes. The data is personally identifiable.,1P Analysis
The site collects your cookies or tracking elements for personalization or customization. Collection happens when you implicitly provide information in an unspecified way. You can choose not to use the service or feature.,Personalization
A user's activities on the website or app is retained for an unspecified duration to perform analytics or research.,1P Analysis
A named third party does track on the first party website or app your IP address or device IDs for targeted advertising. The data is aggregated or anonymized. You can opt out using the provided link.,IP Address
The site collects your unspecified information for personalization or customization. Collection happens when you implicitly provide information in an unspecified way. You can configure your privacy with browser settings for the collection of your information.,Personalization
Another part of the company or institution does receive your IP address or device IDs for analytics or research.,IP Address
The site collects your cookies or tracking elements for analytics or research. Collection happens by some means outside of our label scheme. You can opt out using the provided link.,Action
An unnamed third party does receive unspecified information about you for personalization or customization.,Personalization
"When a change of an unspecified nature is made to the privacy policy, users receive no notification. Users can participate in a process to influence the change.",Policy Change
An unnamed third party does receive information about you not covered by our label scheme for an unspecified purpose. The data is personally identifiable. You can make a choice about the use of your information.,3P Analysis
A named third party does receive your unspecified personal information for targeted advertising. The data is personally identifiable.,Targeted Advertising
An unnamed third party does track on the first party website or app your cookies or tracking elements for analytics or research. The data is aggregated or anonymized. You can configure your privacy with third-party user settings.,Cookies
An unnamed third party does track on the first party website or app your cookies or tracking elements for analytics or research. The data is aggregated or anonymized. You can opt out using the provided link.,Action
The site collects your computer information for personalization or customization. Collection happens on the website.,Personalization
"The site collects your unspecified information for personalization or customization. Collection happens when you implicitly provide information in an unspecified way, and your data is identifiable.",Personalization
A named third party does receive your contact information for analytics or research.,3P Analysis
"The site collects your unspecified information for personalization or customization. Collection happens when you explicitly provide information on the website, and your data is identifiable.",Personalization
The site collects your location information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in the mobile app. You can opt in for data collection for the collection of your information.,Location
The site collects your computer information for analytics or research. Collection happens in the mobile app.,1P Analysis
An unnamed third party does do something unspecified with your cookies or tracking elements for a purpose outside of our label scheme. The data is aggregated or anonymized.,Cookies
The site collects your demographic information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way. You can opt in for data collection for the collection of your information.,1P Analysis
"The site collects your location information for legal requirements. Collection happens when you explicitly provide information by some means outside of our label scheme, and your data is identifiable. You can opt in for data collection for the collection of your information.",Location
An unnamed third party does see your unspecified personal information for marketing purposes. The data is personally identifiable.,3P Analysis
A named third party does collect on the first party website or app your activities on the website or app for targeted advertising. You can opt out using the provided link.,Targeted Advertising
A user with an account can opt out (by contacting the company) from the use of contact information by an unspecified party for an unspecified purpose.,Action
Another part of the company or institution does receive your IP address or device IDs for targeted advertising.,IP Address
Another part of the company or institution does receive information about you not covered by our label scheme for personalization or customization. This applies to users with accounts. You can configure your privacy with third-party user settings.,Personalization
An unnamed third party does track on the first party website or app your unspecified personal information for analytics or research.,3P Analysis
A named third party does receive your unspecified personal information for marketing purposes. The data is personally identifiable. You can opt out by contacting the company.,Action
"A user with an account can opt out (by contacting the company) from the use of generic personal information by the site, which collects it for an unspecified purpose.",Action
"The site collects your generic personal information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can opt in for data collection for the collection of your information.",1P Analysis
"The site collects your cookies or tracking elements for service operations or security. Collection happens when you implicitly provide information on the website for users without accounts, and your data is aggregated or anonymized.",Cookies
"The site collects your generic personal information for personalization or customization. Collection happens in an unspecified way, and your data is aggregated or anonymized.",Personalization
The site collects your user profile for personalization or customization. Collection happens on the website.,Personalization
The site collects your demographic information for an unspecified purpose. Collection happens by a named service or third party.,3P Analysis
An unnamed third party does not receive unspecified information about you for an unspecified purpose. The data is personally identifiable.,3P Analysis
A named third party does receive your contact information for an unspecified purpose. You can opt out by contacting the company for the use of your information.,Action
An unnamed third party does receive your IP address or device IDs for analytics or research. The data is aggregated or anonymized.,IP Address
The site collects your computer information for personalization or customization. Collection happens by some means outside of our label scheme. You can configure your privacy with user settings provided by the site.,Personalization
"The site collects your location information for advertising. Collection happens when you implicitly provide information on the mobile website, and your data is identifiable.",Location
A named third party does receive unspecified information about you for targeted advertising. You can configure your privacy with third-party user settings.,Targeted Advertising
An unnamed third party does collect on the first party website or app your activities on the website or app for analytics or research. The identifiability of the data is not covered by our label scheme.,3P Analysis
"The site collects your user profile for a basic service or feature. Collection happens in an unspecified way, and your data is identifiable. You can opt in for data collection for the collection of your information.",1P Analysis
"The site collects your contact information for an unspecified purpose. Collection happens when you implicitly provide information by other websites, and your data is identifiable. You can configure your privacy with third-party user settings for the collection of your information.",1P Analysis
The site collects your IP address or device IDs for an unspecified purpose. Collection happens in the mobile app.,IP Address
"A user with an account can use privacy configuration settings (in the website or app) to control the use of location information by the site, which collects it for an unspecified purpose.",Location
A named third party does receive your computer information for analytics or research. The data is aggregated or anonymized.,3P Analysis
The site collects your IP address or device IDs for analytics or research. Collection happens when you implicitly provide information on the website.,IP Address
The public does see your contact information for an unspecified purpose. The data is personally identifiable. You can opt in for data collection for the use of your information.,1P Analysis
Do Not Track headers are mentioned but it is unclear if the company adheres to the user's Do Not Track preference.,Do Not Track
"The site collects your contact information for a basic service or feature. Collection happens by some means outside of our label scheme for users with accounts, and your data is identifiable.",1P Analysis
"The site collects your computer information for analytics or research. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized.",1P Analysis
The site collects your health information for analytics or research. Collection happens by an unnamed service or third party.,Health
The site collects your IP address or device IDs for advertising. Collection happens on the website.,IP Address
"The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information by an unnamed service or third party, and your data's identifiability is not covered by our label scheme.",3P Analysis
A third party outside of our label scheme does do something unspecified with unspecified information about you for legal requirements. The data is personally identifiable.,Disclosure
"The site collects your computer information for analytics or research. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme.",1P Analysis
"The site does not collect your health information for an unspecified purpose. Collection happens on the website, and your data's identifiability is not covered by our label scheme.",Health
"The site collects your demographic information for analytics or research. Collection happens when you implicitly provide information by a named service or third party, and your data is aggregated or anonymized.",3P Analysis
An unspecified third party does do something outside of our label scheme with unspecified information about you for analytics or research. The data is aggregated or anonymized.,3P Analysis
"The site collects your financial information for a basic service or feature. Collection happens when you implicitly provide information by some means outside of our label scheme, and your data is identifiable. You can choose not to use the service or feature for the collection of your information.",Payment
"The site collects your unspecified information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way for users with accounts, and your data is identifiable. You can opt in for data collection for the collection and use of your information.",1P Analysis
The site collects your financial information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website. You can opt in for data collection for the collection of your information.,Payment
"The site collects an information type outside of our label scheme for an unspecified purpose. Collection happens on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",1P Analysis
"You can make no specified choices about the use of cookies and tracking elements by the site, which collects it for an unspecified purpose.",Cookies
The site collects your unspecified information for analytics or research. Collection happens when you implicitly provide information by a named service or third party.,3P Analysis
The site collects your financial information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information by some means outside of our label scheme.,Payment
"A user with an account can opt out (via a link) from the use of unspecified information by the site, which uses it for an unspecified purpose.",Action
The site collects your location information for an unspecified purpose. Collection happens when you implicitly provide information by other websites. You can opt in for data collection.,Location
The site collects your demographic information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way for a user type outside of our label scheme.,1P Analysis
"The site collects your generic personal information for service operations or security. Collection happens on the website, and your data is identifiable.",1P Analysis
An unnamed third party does collect on the first party website or app your computer information for analytics or research. You can configure your privacy with user settings provided by the site.,3P Analysis
An unnamed third party does not receive your contact information for an unspecified purpose. The data is personally identifiable. You can opt in for data collection for the collection or sharing of your information.,3P Analysis
"The site collects your cookies or tracking elements for analytics or research. Collection happens when you implicitly provide information by some means outside of our label scheme, and your data is aggregated or anonymized. You can configure your privacy using a method outside our label scheme.",Cookies
"The site does not collect your cookies or tracking elements for an unspecified purpose. Collection happens on the website, and your data is identifiable.",Cookies
A named third party does track on the first party website or app your activities on the website or app for targeted advertising. You can opt in for data collection for the collection or sharing of your information.,Targeted Advertising
"The site collects your website activities for personalization or customization. Collection happens when you implicitly provide information on the website, and your data's identifiability is not covered by our label scheme.",Personalization
A named third party does collect on the first party website or app your survey data for analytics or research. The data is aggregated or anonymized. You can opt in for data collection for the collection or sharing of your information.,3P Analysis
An unnamed third party does collect on the first party website or app your location information for targeted advertising.,Location
A named third party does receive unspecified information about you for targeted advertising. The data is aggregated or anonymized. You can opt in for data collection for the collection or sharing and use of your information.,Targeted Advertising
The site collects an information type outside of our label scheme for personalization or customization. Collection happens when you explicitly provide information on the website. You can configure your privacy using a method outside our label scheme.,Personalization
"The site collects your cookies or tracking elements for marketing purposes. Collection happens in an unspecified way, and your data is identifiable.",Cookies
The site collects your social media data for an unspecified purpose. Collection happens when you implicitly provide information on other websites.,Social Media
An unnamed third party does receive your cookies or tracking elements for an unspecified purpose.,Cookies
A named third party does do something outside of our label scheme with your cookies or tracking elements for targeted advertising. This applies to users without accounts.,Targeted Advertising
The site collects your location information for advertising. Collection happens by an unnamed service or third party.,Location
Another part of the company or institution does receive your unspecified personal information for analytics or research. You can configure your privacy with user settings provided by the site.,1P Analysis
"The site collects your user profile for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website, and your data is identifiable. You can opt in for data collection for the collection of your information.",1P Analysis
"When a change is made to the privacy policy that significantly affects data practices, users are notified when visiting the website. Users have no options regarding the change.",Policy Change
"The site collects your computer information for analytics or research. Collection happens when you implicitly provide information by an unnamed service or third party, and your data is aggregated or anonymized.",3P Analysis
"The site collects your financial information for service operations or security. Collection happens on the website, and your data is identifiable.",Payment
"The site collects your cookies or tracking elements for advertising. Collection happens by a named service or third party, and your data is aggregated or anonymized. You can configure your privacy with third-party user settings for the collection of your information.",Cookies
The site collects your cookies or tracking elements for an unspecified purpose. Collection happens when you implicitly provide information by other websites.,Cookies
The site collects your location information for personalization or customization. Collection happens when you explicitly provide information on the website. You can configure your privacy with browser settings for the collection of your information.,Location
"The site collects your contact information for a basic service or feature. Collection happens by some means outside of our label scheme, and your data is identifiable. You can opt out by contacting the company for the use of your information.",Action
The site collects your cookies or tracking elements for a purpose outside of our label scheme. Collection happens on the website.,Cookies
"The site collects your financial information for an unspecified purpose. Collection happens by some means outside of our label scheme, and your data is identifiable.",Payment
The site collects your survey data for analytics or research. Collection happens on the website. You can opt in for data collection.,1P Analysis
"The site collects your location information for advertising. Collection happens when you implicitly provide information on the website, and your data is identifiable.",Location
"The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information on the website, and your data is aggregated or anonymized. You can configure your privacy with browser settings for the collection of your information.",Cookies
The site collects your health information for analytics or research. Collection happens in an unspecified way. You can opt in for data collection for the use of your information.,Health
You can opt out (via a link) from the use of information of a type not covered by our label scheme by an unspecified party for an unspecified purpose.,Action
A named third party does receive your IP address or device IDs for a basic service or feature.,IP Address
The site collects your location information for a basic service or feature. Collection happens in an unspecified way.,Location
"The site collects your cookies or tracking elements for advertising. Collection happens when you implicitly provide information in the mobile app, and your data is identifiable. You can opt out using the provided link.",Action
"The site collects your cookies or tracking elements for a basic service or feature. Collection happens when you implicitly provide information on the website, and your data is identifiable.",Cookies
A named third party does do something unspecified with information about you not covered by our label scheme for targeted advertising.,Targeted Advertising
You can use privacy configuration settings (in your browser or on your device) to control the use of location information by an unspecified party for advertising.,Location
"The site collects your website activities for analytics or research. Collection happens in the mobile app, and your data's identifiability is not covered by our label scheme. You can configure your privacy with third-party user settings for the collection of your information.",1P Analysis
A named third party does receive information about you not covered by our label scheme for mergers or acquisitions. The data is personally identifiable.,3P Analysis
"The site collects your generic personal information for analytics or research. Collection happens in an unspecified way, and your data's identifiability is not covered by our label scheme.",1P Analysis
The site collects your website activities for analytics or research. Collection happens when you implicitly provide information on other websites.,1P Analysis
A named third party does receive your contact information for targeted advertising. You can opt out using the provided link.,Targeted Advertising
An unspecified third party does do something unspecified with your unspecified personal information for legal requirements.,Disclosure
"The site collects something that uniquely identifies you for an additional (non-basic) service or feature. Collection happens when you explicitly provide information in an unspecified way, and your data is identifiable. You can configure your privacy using a method outside our label scheme for the collection and use of your information.",1P Analysis
